#  E (eV)   dos(E)     Int dos(E) EFermi =   -3.219 eV
 -28.189  0.8277E+01  0.4026E+01
 -28.179 -0.1191E+01  0.4014E+01
 -28.169 -0.1214E+01  0.4002E+01
 -28.159 -0.1495E+00  0.4000E+01
 -28.149 -0.5181E-02  0.4000E+01
 -28.139 -0.5650E-04  0.4000E+01
 -28.129 -0.2012E-06  0.4000E+01
 -28.119 -0.2378E-09  0.4000E+01
 -28.109 -0.9401E-13  0.4000E+01
 -28.099 -0.1250E-16  0.4000E+01
 -28.089 -0.5604E-21  0.4000E+01
 -28.079 -0.8491E-26  0.4000E+01
 -28.069 -0.4354E-31  0.4000E+01
 -28.059 -0.7561E-37  0.4000E+01
 -28.049 -0.4450E-43  0.4000E+01
 -28.039 -0.8881E-50  0.4000E+01
 -28.029 -0.6012E-57  0.4000E+01
 -28.019 -0.1381E-64  0.4000E+01
 -28.009 -0.1076E-72  0.4000E+01
 -27.999  0.3182E-80  0.4000E+01
 -27.989  0.3465E-80  0.4000E+01
 -27.979  0.3463E-80  0.4000E+01
 -27.969  0.3461E-80  0.4000E+01
 -27.959  0.3459E-80  0.4000E+01
 -27.949  0.3457E-80  0.4000E+01
 -27.939  0.3456E-80  0.4000E+01
 -27.929  0.3454E-80  0.4000E+01
 -27.919  0.3452E-80  0.4000E+01
 -27.909  0.3450E-80  0.4000E+01
 -27.899  0.3448E-80  0.4000E+01
 -27.889  0.3447E-80  0.4000E+01
 -27.879  0.3445E-80  0.4000E+01
 -27.869  0.3443E-80  0.4000E+01
 -27.859  0.3441E-80  0.4000E+01
 -27.849  0.3440E-80  0.4000E+01
 -27.839  0.3438E-80  0.4000E+01
 -27.829  0.3436E-80  0.4000E+01
 -27.819  0.3434E-80  0.4000E+01
 -27.809  0.3432E-80  0.4000E+01
 -27.799  0.3431E-80  0.4000E+01
 -27.789  0.3429E-80  0.4000E+01
 -27.779  0.3427E-80  0.4000E+01
 -27.769  0.3425E-80  0.4000E+01
 -27.759  0.3423E-80  0.4000E+01
 -27.749  0.3422E-80  0.4000E+01
 -27.739  0.3420E-80  0.4000E+01
 -27.729  0.3418E-80  0.4000E+01
 -27.719  0.3416E-80  0.4000E+01
 -27.709  0.3414E-80  0.4000E+01
 -27.699  0.3413E-80  0.4000E+01
 -27.689  0.3411E-80  0.4000E+01
 -27.679  0.3409E-80  0.4000E+01
 -27.669  0.3407E-80  0.4000E+01
 -27.659  0.3406E-80  0.4000E+01
 -27.649  0.3404E-80  0.4000E+01
 -27.639  0.3402E-80  0.4000E+01
 -27.629  0.3400E-80  0.4000E+01
 -27.619  0.3398E-80  0.4000E+01
 -27.609  0.3397E-80  0.4000E+01
 -27.599  0.3395E-80  0.4000E+01
 -27.589  0.3393E-80  0.4000E+01
 -27.579  0.3391E-80  0.4000E+01
 -27.569  0.3389E-80  0.4000E+01
 -27.559  0.3388E-80  0.4000E+01
 -27.549  0.3386E-80  0.4000E+01
 -27.539  0.3384E-80  0.4000E+01
 -27.529  0.3382E-80  0.4000E+01
 -27.519  0.3380E-80  0.4000E+01
 -27.509  0.3379E-80  0.4000E+01
 -27.499  0.3377E-80  0.4000E+01
 -27.489  0.3375E-80  0.4000E+01
 -27.479  0.3373E-80  0.4000E+01
 -27.469  0.3372E-80  0.4000E+01
 -27.459  0.3370E-80  0.4000E+01
 -27.449  0.3368E-80  0.4000E+01
